emoji,sinonimo
😊,feliz
😡,enfadado
😢,triste
😂,risa
😍,enamorado
😎,guay
😴,cansado
🤔,pensativo
😱,asombrado
👌,perfecto
👍,bien
👎,mal
🙏,gracias
💪,fuerza
🔥,genial
❤,amor
❤️,amor
